Fuente:SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:* S/D = Sin Datos.

,Estación:PUNO
,Departamento:PUNO,Provincia:PUNO,Distrito:PUNO
,Latitud:15°49'34.5'',Longitud:70°0'43.5'',Altitud:3812,msnm.
,Tipo:EMA,-Meteorológica,Código:472DD33A
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2023/11/01,00:00,10.7,0.0,20,18,1.0
2023/11/01,01:00,9.5,0.0,27,276,0.7
2023/11/01,02:00,8.7,0.0,37,282,1.5
2023/11/01,03:00,8.5,0.0,31,283,1.7
2023/11/01,04:00,8.1,0.0,34,298,1.0
2023/11/01,05:00,7.5,0.0,28,301,1.0
2023/11/01,06:00,6.8,0.0,30,325,1.4
2023/11/01,07:00,7.1,0.0,43,300,0.9
2023/11/01,08:00,10.2,0.0,40,123,0.8
2023/11/01,09:00,11.9,0.0,45,106,1.5
2023/11/01,10:00,13.2,0.0,47,136,2.6
2023/11/01,11:00,14.5,0.0,46,115,3.5
2023/11/01,12:00,16.1,0.0,35,109,4.4
2023/11/01,13:00,17.5,0.0,29,105,5.5
2023/11/01,14:00,18.0,0.0,28,95,5.2
2023/11/01,15:00,18.8,0.0,25,91,6.6
2023/11/01,16:00,18.7,0.0,23,84,5.4
2023/11/01,17:00,18.7,0.0,21,72,6.3
2023/11/01,18:00,17.0,0.0,24,68,5.8
2023/11/01,19:00,12.7,0.0,62,53,2.7
2023/11/01,20:00,12.7,0.0,62,53,2.7
2023/11/01,21:00,12.4,0.0,37,116,3.3
2023/11/01,22:00,11.7,0.0,24,297,2.0
2023/11/01,23:00,10.7,0.0,21,308,1.8
2023/11/02,00:00,9.7,0.0,20,299,1.6
2023/11/02,01:00,8.9,0.0,20,311,1.8
2023/11/02,02:00,8.1,0.0,23,283,2.0
2023/11/02,03:00,7.6,0.0,27,307,1.7
2023/11/02,04:00,7.6,0.0,25,323,0.8
2023/11/02,05:00,7.1,0.0,26,312,1.2
2023/11/02,06:00,7.0,0.0,27,309,1.0
2023/11/02,07:00,7.5,0.0,31,84,1.1
2023/11/02,08:00,9.9,0.0,28,106,2.1
2023/11/02,09:00,11.6,0.0,28,91,2.1
2023/11/02,10:00,13.1,0.0,31,109,3.3
2023/11/02,11:00,15.1,0.0,30,121,3.6
2023/11/02,12:00,16.7,0.0,28,111,4.2
2023/11/02,13:00,17.9,0.0,28,143,3.1
2023/11/02,14:00,19.3,0.0,26,103,5.6
2023/11/02,15:00,20.1,0.0,23,85,5.6
2023/11/02,16:00,20.6,0.0,20,72,5.9
2023/11/02,17:00,19.4,0.0,21,70,5.8
2023/11/02,18:00,18.1,0.0,30,75,6.3
2023/11/02,19:00,15.6,0.0,34,104,3.7
2023/11/02,20:00,13.8,S/D,52,119,3.4
2023/11/02,21:00,13.4,0.0,62,67,1.6
2023/11/02,22:00,S/D,S/D,S/D,S/D,S/D
2023/11/02,23:00,11.6,0.0,20,314,0.5
2023/11/03,00:00,10.6,0.0,19,269,1.0
2023/11/03,01:00,10.1,0.0,15,339,0.7
2023/11/03,02:00,9.4,0.0,19,325,1.6
2023/11/03,03:00,8.6,0.0,25,304,1.5
2023/11/03,04:00,8.2,0.0,20,315,1.1
2023/11/03,05:00,8.0,0.0,22,304,0.8
2023/11/03,06:00,7.9,0.0,31,315,1.0
2023/11/03,07:00,8.0,0.0,40,302,0.8
2023/11/03,08:00,11.3,0.0,38,100,1.7
2023/11/03,09:00,12.9,0.0,43,97,1.6
2023/11/03,10:00,14.3,0.0,52,122,3.4
2023/11/03,11:00,15.9,0.0,49,116,5.0
2023/11/03,12:00,17.3,0.0,33,90,4.6
2023/11/03,13:00,18.0,0.0,27,100,5.9
2023/11/03,14:00,18.7,0.0,34,83,6.5
2023/11/03,15:00,18.3,0.0,39,75,7.4
2023/11/03,16:00,18.0,0.0,40,78,6.4
2023/11/03,17:00,17.8,0.0,35,73,7.4
2023/11/03,18:00,16.7,0.0,37,18,4.5
2023/11/03,19:00,13.4,0.0,39,329,1.6
