fecha,codZonal,codEsta,nomEsta,uniHidrografica,nomDepa,nomCuenca,nomSector,dato,unidad,datAnomalia,uniAnomalia,tendencia,umbralRojo,cuerpoAgua
2023-10-13,13,47256412,MUELLE ENAFER,Región Hidrográfica del Titicaca,PUNO,Intercuenca 0173,SUR,3808.0553,m.s.n.m,-1.3137,m.s.n.m,E,3810.25,LAGO TITICACA
2023-10-14,13,47256412,MUELLE ENAFER,Región Hidrográfica del Titicaca,PUNO,Intercuenca 0173,SUR,3808.0505,m.s.n.m,-1.3155,m.s.n.m,E,3810.25,LAGO TITICACA
2023-10-15,13,47256412,MUELLE ENAFER,Región Hidrográfica del Titicaca,PUNO,Intercuenca 0173,SUR,3808.0516,m.s.n.m,-1.3124,m.s.n.m,E,3810.25,LAGO TITICACA
2023-10-16,13,47256412,MUELLE ENAFER,Región Hidrográfica del Titicaca,PUNO,Intercuenca 0173,SUR,3808.0458,m.s.n.m,-1.3152,m.s.n.m,E,3810.25,LAGO TITICACA
2023-10-17,13,47256412,MUELLE ENAFER,Región Hidrográfica del Titicaca,PUNO,Intercuenca 0173,SUR,3808.0374,m.s.n.m,-1.3216,m.s.n.m,E,3810.25,LAGO TITICACA
2023-10-18,13,47256412,MUELLE ENAFER,Región Hidrográfica del Titicaca,PUNO,Intercuenca 0173,SUR,3808.0358,m.s.n.m,-1.3222,m.s.n.m,E,3810.25,LAGO TITICACA
2023-10-19,13,47256412,MUELLE ENAFER,Región Hidrográfica del Titicaca,PUNO,Intercuenca 0173,SUR,3808.0337,m.s.n.m,-1.3193,m.s.n.m,E,3810.25,LAGO TITICACA
2023-10-20,13,47256412,MUELLE ENAFER,Región Hidrográfica del Titicaca,PUNO,Intercuenca 0173,SUR,3808.0321,m.s.n.m,-1.3189,m.s.n.m,E,3810.25,LAGO TITICACA
2023-10-21,13,47256412,MUELLE ENAFER,Región Hidrográfica del Titicaca,PUNO,Intercuenca 0173,SUR,3808.0274,m.s.n.m,-1.3216,m.s.n.m,E,3810.25,LAGO TITICACA
2023-10-22,13,47256412,MUELLE ENAFER,Región Hidrográfica del Titicaca,PUNO,Intercuenca 0173,SUR,3808.0232,m.s.n.m,-1.3228,m.s.n.m,E,3810.25,LAGO TITICACA
2023-10-23,13,47256412,MUELLE ENAFER,Región Hidrográfica del Titicaca,PUNO,Intercuenca 0173,SUR,3808.0247,m.s.n.m,-1.3203,m.s.n.m,E,3810.25,LAGO TITICACA
2023-10-24,13,47256412,MUELLE ENAFER,Región Hidrográfica del Titicaca,PUNO,Intercuenca 0173,SUR,3808.0267,m.s.n.m,-1.3163,m.s.n.m,E,3810.25,LAGO TITICACA
2023-10-25,13,47256412,MUELLE ENAFER,Región Hidrográfica del Titicaca,PUNO,Intercuenca 0173,SUR,3808.03,m.s.n.m,-1.309,m.s.n.m,E,3810.25,LAGO TITICACA
2023-10-26,13,47256412,MUELLE ENAFER,Región Hidrográfica del Titicaca,PUNO,Intercuenca 0173,SUR,3808.0263,m.s.n.m,-1.3097,m.s.n.m,E,3810.25,LAGO TITICACA
2023-10-27,13,47256412,MUELLE ENAFER,Región Hidrográfica del Titicaca,PUNO,Intercuenca 0173,SUR,3808.0237,m.s.n.m,-1.3093,m.s.n.m,E,3810.25,LAGO TITICACA
2023-10-28,13,47256412,MUELLE ENAFER,Región Hidrográfica del Titicaca,PUNO,Intercuenca 0173,SUR,3808.0137,m.s.n.m,-1.3173,m.s.n.m,E,3810.25,LAGO TITICACA
2023-10-29,13,47256412,MUELLE ENAFER,Región Hidrográfica del Titicaca,PUNO,Intercuenca 0173,SUR,3808.0153,m.s.n.m,-1.3127,m.s.n.m,E,3810.25,LAGO TITICACA
2023-10-30,13,47256412,MUELLE ENAFER,Región Hidrográfica del Titicaca,PUNO,Intercuenca 0173,SUR,3808.0147,m.s.n.m,-1.3093,m.s.n.m,E,3810.25,LAGO TITICACA
2023-10-31,13,47256412,MUELLE ENAFER,Región Hidrográfica del Titicaca,PUNO,Intercuenca 0173,SUR,3808.0053,m.s.n.m,-1.3157,m.s.n.m,E,3810.25,LAGO TITICACA
